TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
RYBP	4	6.03845181114e-16	0.0804698311256	0.412390501568	0.00304685571457	6.61817180297e-07	0.0758531580015	1.28900643877e-08	1.40081437655e-06	2.92163092059e-10	1.38687451409e-43	1.57961502436e-31	7.67970801576e-14	5.77834604e-23	4.57074958684e-35	7.20224675079e-36
ERG	7	5.91476101586e-17	1.33706668907e-05	0.124420503685	1.08179988967e-48	2.8196115748e-15	4.67414581095e-38	5.02315739943e-06	3.28477476839e-22	2.36417333112e-16	3.65364637406e-35	0.00542871157339	0.00209355571305	8.34960245089e-13	2.91352460191e-17	6.86251553343e-12
BCL6	4	2.30849480175e-08	8.27619682691e-05	0.000181395715439	2.05834025185e-17	0.00291012519232	2.1613550876e-21	8.69330928318e-12	1.87761674853e-05	1.24922085269e-12	4.85525029093e-10	0.406914437087	0.234076291656	0.00199573973826	5.33739292044e-06	6.25252272413e-14
JUND	6	1.0874877665e-12	3.4466866338e-05	0.470309251448	1.01242501364e-37	2.5350083537e-19	1.03310133308e-30	0.0114083307302	2.73166894542e-36	0.198283105699	3.66389300235e-15	0.103525065417	4.21632402727e-10	1.89370213471e-06	6.1947580241e-07	0.00649346710483
TAF7L	2	1.22631117383e-10	0.00110663769702	0.331648197795	2.06873833657e-11	2.95881266491e-09	1.97482425163e-21	4.69927820924e-14	0.00617315494472	3.09950790713e-24	6.03512004428e-20	0.000593902287873	0.169269426095	3.92950847127e-08	2.07888431084e-16	8.79824281471e-11
MED12	3	8.65964222234e-06	9.76891710862e-13	0.280170233728	2.66453193238e-08	0.0334962319952	0.101273804135	0.000920524220069	0.437893056257	1.20765130376e-05	1.42449164111e-09	2.45547685671e-05	0.00142854004269	8.00565318718e-08	8.71694919822e-08	3.17557647192e-10
MYCN	1	0.00751714828905	0.369753499542	0.00038552703383	0.00743792306324	0.0714151910421	0.00269642502945	7.70127309719e-06	0.150333270717	3.50827777659e-05	0.000762690136769	0.470762874757	0.0419713021681	0.0294523540185	0.00357427673514	0.139837391051
CEBPD	5	0.0256130366155	0.0983753217428	0.06319650574	4.22578210843e-08	0.103672231047	0.47995918109	0.106247515418	0.0451101700408	0.12704677651	0.324699031177	0.00133756050525	0.00193135859131	0.0578236115402	0.480805537417	0.281716956555
PO5F1	43	6.82388561641e-19	0.0287198768047	0.0156590902425	5.32490249989e-18	4.83363509898e-11	8.85421011232e-06	1.09981580526e-06	1.39782425192e-06	1.32418390406e-13	2.73509329443e-44	2.50246302626e-37	1.7969673919e-12	2.35178310452e-25	3.9876850275e-37	1.97260866757e-41
RELB	1	3.24993488691e-07	0.0766259827601	0.0558571286606	4.67059548298e-22	0.000431199371335	3.79808554527e-11	0.00015504833631	6.85017671711e-21	0.277645255564	0.0416837070212	2.11367063607e-07	7.6311453657e-15	0.0734278216123	0.138579592805	2.22005132442e-05
NKX61	1	1.27169063116e-10	0.00164438894894	5.84839110091e-05	3.94877616565e-13	5.49836223423e-08	3.47731141575e-18	9.02548049903e-05	5.42537069402e-07	8.65593327719e-13	7.39886357416e-22	1.10719652722e-10	0.0588482127222	1.16700162922e-10	1.87581030383e-13	8.9076502337e-18
HEXI1	1	0.0687501064353	0.246848073085	0.0176254375172	0.0300653297565	0.133585325687	0.00179332629323	0.41801447181	0.256602572954	0.24972734052	0.440769143614	0.404590286629	0.131253133649	0.0619379028516	0.342426980859	0.000126471990152
EHMT2	2	0.140405548036	0.397563361505	0.491484118052	0.353920964034	0.375879086214	0.00228231061862	0.218785548035	0.440621329738	0.336588233633	0.00533042392504	0.0342180449586	0.219948672841	0.2489742285	0.145191652967	0.414493105762
