TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
RYBP	4	2.9830285592652744e-15	0.11556570762892002	0.44007412320052275	0.004295414325426521	1.7434155435264708e-06	0.09082676841221059	1.1651607220996266e-07	3.0036066399577346e-06	1.4482493057979085e-09	1.6207058652648217e-42	2.697046393442619e-30	7.69640303318402e-13	1.0245452017071629e-21	6.3851986652453124e-34	1.1449088800396239e-34
ERG	7	3.3741796708720466e-16	7.084916593787759e-05	0.1732865625344299	2.770609717420453e-47	2.5996818719671106e-14	1.657524014500112e-36	2.3629342460561394e-05	2.329663335735652e-21	3.632946352152249e-15	2.441059389043903e-34	0.008047061206853579	0.004308612427305839	3.968213123565256e-12	1.267108341021153e-16	1.987624042893967e-11
BCL6	4	6.811325263797505e-08	0.0003376395342660289	0.0008198374982076555	6.926239825580368e-17	0.0046907962016000376	1.509673780881023e-20	1.6030462318178485e-10	3.6990654746649235e-05	8.99829395456796e-12	9.404497412272811e-10	0.42249449436248115	0.275278496054923	0.002866155823485677	9.6114770950057e-06	2.1194213057515984e-13
JUND	6	3.958660154699007e-12	0.00016213495287570987	0.4828787637363832	1.0146259375804434e-36	5.564946909789295e-18	1.5875323818330517e-29	0.020073436895506655	6.29649691919047e-35	0.2296696274549365	8.889761442532648e-15	0.12300271947688192	2.5575333902270242e-09	3.89730662544822e-06	1.215226999620524e-06	0.00860197797507316
TAF7L	2	4.549862793766706e-10	0.003129815817946779	0.37381373883497826	5.211411875193258e-11	1.1089533646544079e-08	1.422490593753305e-20	1.2743336790932245e-12	0.009150560866604053	2.0412473502695643e-22	1.8184250590929582e-19	0.001006577039372387	0.21327998122249123	9.791910298678681e-08	7.986380560822757e-16	2.3310286997606456e-10
MED12	3	1.989149196961947e-05	4.369355857397152e-11	0.3286475260784193	5.411230047706969e-08	0.0447587331877222	0.1194046642097629	0.0021874312652163095	0.4485971087437105	3.19958190249498e-05	2.713597713029485e-09	4.8792018575156844e-05	0.0030773689704602244	1.9023742882945596e-07	1.8265970819915494e-07	8.224386255923385e-10
MYCN	1	0.011887096638702136	0.3960514562392021	0.0015190424153477043	0.010088462966796335	0.09119779243876022	0.004185360062552945	3.446880483305942e-05	0.1694465471897641	8.932745922076301e-05	0.0010310854928161908	0.47488333755532114	0.06449590099831798	0.03730092088604636	0.004963077032831425	0.15917293154168857
CEBPD	5	0.03396740792311023	0.13578150695636837	0.10046065222801027	8.50692380780714e-08	0.12643623945191923	0.48205050649825937	0.14405913119924094	0.057926987155450214	0.1545344695808968	0.3333769562865791	0.0021559978773422104	0.004028761586393837	0.07002828952410108	0.48501390098252517	0.3034381237655951
PO5F1	43	4.6718400540657275e-18	0.0503416851975748	0.03266443711220911	1.8596818579173662e-17	2.250813919827233e-10	1.8985073775711176e-05	6.183110807605076e-06	3.0036066399577346e-06	1.1517901505108094e-12	3.602508596377021e-43	5.768177275533538e-36	1.5061853957573973e-11	7.22781340789886e-24	6.565438563140997e-36	5.683578723442773e-40
RELB	1	7.357516482357885e-07	0.1110835787811421	0.09131254011532262	2.0122845959362324e-21	0.0007888210721637876	1.1911002968493e-10	0.00048624002067376715	4.386015925816414e-20	0.3054760449048299	0.04780146501680633	5.155567001197837e-07	8.794895033963493e-14	0.08769488539710213	0.15357017375693427	3.735195841450992e-05
NKX61	1	4.340182786893308e-10	0.004282843533687967	0.0003345684379278437	1.0645531066471813e-12	1.667595388144302e-07	1.9790624230376813e-17	0.00030593724338628914	1.2200467755810704e-06	6.4361052270738474e-12	2.4363400769192666e-21	3.7530705812369996e-10	0.08612389226969976	3.8704154753148736e-10	5.726811589830936e-13	3.986822094891146e-17
HEXI1	1	0.08542521569872968	0.2882819941162622	0.03595277298854623	0.03807724455425024	0.15912877297582234	0.0028705674346497503	0.435983419693455	0.2803170287481976	0.28079098531590985	0.44658148396952135	0.42102962107486996	0.1743295546837823	0.07474705029995858	0.36040830633835813	0.00020174251716208527
EHMT2	2	0.15924878859102007	0.42035942581104624	0.49470344633624513	0.36257236537740783	0.3970940823171263	0.0035787251536812848	0.26612173520888044	0.45039120401159954	0.35752805461944476	0.006806995649424372	0.04456078736127933	0.2620060418077082	0.2713407076557017	0.15974547020952898	0.4265208074921819
DNM3B	7	0.00012693571851229765	0.00869564570268062	0.19321622024752902	0.3520811918734916	0.30535361772928593	0.1361901384919703	0.00012059018958329029	2.7187245668069156e-11	0.104239213886904	5.218578941230371e-09	7.860649198653733e-08	1.2615123844789301e-05	0.0017372129017642292	2.912078534969524e-06	1.2810622284697832e-06
SETB1	2	0.002502070903368335	0.1391653006709969	0.008938516310704487	7.99626630680802e-06	0.0008028237476231485	0.08113280471794113	8.411127660004609e-07	0.039169323369011126	0.41614795600712806	6.399681142388568e-06	2.022175451901809e-05	0.3983794004470996	0.0003365358117973377	0.038605533458582926	0.06334192814265349
SIX2	1	0.040599658818874645	0.1300545218599464	0.04805386556651224	0.22643501378786413	0.24100903425311465	0.003045510043700775	0.27427716631610954	0.49435131377100333	0.14533309075492348	0.00029956360916209157	1.818912222789732e-05	0.06012563356969853	0.11323167839118718	0.12743735203037398	0.3416706289048615
LDB1	4	0.00012191945648927987	7.6279849157153075e-06	0.012845712496707882	1.3405055239661816e-09	0.3083950631115539	0.05887240537068479	4.670214861788516e-05	0.026006491181262276	1.1466163637009553e-06	7.420657276050402e-13	0.13732165174199862	0.10091114062357241	9.412992586700185e-05	7.411004865221083e-05	0.000672983384411503
P53	7	2.3819837061214706e-12	0.15032575227366593	0.3987914216869184	5.068126193507708e-13	1.5536768822788754e-07	0.00016208811600512617	0.2899270273376105	4.686717838449883e-13	0.10785647361995304	5.566843902814487e-39	5.350127830354391e-21	0.0007608932909747146	1.2333153380091127e-10	1.8894337620706008e-30	3.1966716463589403e-24
