TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
RYBP	4	-4.79718929374	-1.40197215706	-0.221402963014	2.74299635244	4.83770231371	1.43358680829	-5.57020413429	4.68630000672	-6.19785976266	-13.828534538	-11.6442112626	-7.38945694886	-9.80971635452	-12.3244921283	-12.4733853442
ERG	7	0.0894962008527	4.2005840304	-1.15320372335	14.6571175292	7.81821730267	12.8706975277	-4.41730737689	9.63185641509	-8.12508755882	-12.3412641027	-2.54750001911	2.86403999125	-7.06413855481	-8.37630979168	-6.7647548571
BCL6	4	-0.652191841437	3.76737189629	-3.56647751498	8.41826787111	2.75808341234	9.43673158165	-6.73094118189	4.12311964446	-7.00847080605	-6.11750696212	-0.235493047985	0.725504231147	-2.87922298271	-4.40433294882	-7.41731897258
JUND	6	2.77814519099	3.98070178231	0.0744933684913	12.8071446388	8.91906017307	11.4784030495	2.27664771262	12.5472950889	-0.847786028375	-7.78406644882	1.26175491023	6.13921959838	-4.62387575141	-4.85063210958	-2.48432731025
TAF7L	2	-1.69620110905	3.06061750315	-0.43537620233	6.60453392564	5.8231310567	9.45073729089	-7.45690069512	2.50244491369	-10.1084671894	-9.08303868393	-3.24258158432	-0.957092676249	-5.37341643581	-8.14515933166	-6.38624741786
MED12	3	-1.4988815268	7.06291446154	0.582392212999	5.45107943552	1.8322786226	1.27454772443	-3.11694587525	-0.156324103334	-4.22783017189	-5.95435387278	-4.06455053011	-2.98466145956	-5.25052498587	-5.23469834005	-6.19766449349
MYCN	1	-0.771416049742	0.332531758095	-3.36577783018	2.43655978245	1.46564406923	2.78424306398	-4.32863360276	1.03515308165	-3.98060001814	-3.1722024556	-0.0733576920621	1.72876362116	-1.8894929686	-2.69143861338	-1.08121689223
CEBPD	5	0.859748819781	1.29098557362	1.52866031487	5.36279183397	1.261015519	-0.0502578114909	-1.24684550297	1.69446601724	-1.14055477452	-0.454617966287	3.00385383743	2.89012919493	-1.57350087327	0.0481336534465	-0.577775539035
PO5F1	43	-3.86285106268	1.9000190134	2.15310141021	8.57169077315	6.47425802736	4.29263938107	-4.73503287388	4.68615335937	-7.31433634762	-13.9319308647	-12.7296102842	-6.95500368997	-10.3477055867	-12.6931040433	-13.4510531518
RELB	1	3.40098638474	1.42834386101	-1.59079440308	9.62299418728	3.33385656462	6.5207476983	3.60891122343	9.33893700332	0.589886044631	-1.73177408704	5.0643373299	7.70599687085	-1.45092349311	1.08682636091	4.08646422528
